ticker,beta_worst_full,beta_worst_shock,beta_worst_normal,beta_best_full,beta_best_shock,beta_med_full,beta_med_shock,avg_full,avg_shock,n_full,n_shock,n_normal,Security,tier
NVDA.O,-0.5408,2.0783,-0.0788,0.4342,-1.1142,-0.1156,0.0487,0.3382,0.1783,2597,643,1954,Nvidia,high
AAPL.O,0.7773,2.3142,-1.6668,0.681,-4.4407,-0.0152,0.1249,0.349,0.0327,2597,643,1954,Apple Inc.,high
GOOG.O,0.1941,0.1675,0.1564,0.3599,0.6255,-0.2079,0.099,0.0732,0.25,2597,643,1954,Alphabet Inc. (Class C),high
GOOGL.O,0.4216,0.0207,-0.0099,0.6459,0.3141,-0.2138,0.1934,0.0698,0.276,2597,643,1954,Alphabet Inc. (Class A),high
AVGO.O,1.7971,2.7645,0.9131,0.2382,-1.6715,0.0593,-0.0247,0.2443,0.1182,2597,643,1954,Broadcom,high
TSLA.O,1.0524,1.4617,0.7253,-1.6432,0.992,-0.047,0.256,0.1321,0.3184,2597,643,1954,"Tesla, Inc.",high
MU.O,-0.1446,0.6485,-0.1831,1.2525,-1.3388,-0.4019,-0.3198,0.0755,0.0339,2597,643,1954,Micron Technology,high
AMD.O,-0.611,0.6344,-0.4453,1.4312,-1.2188,0.1225,0.0425,0.1704,-0.1141,2597,643,1954,Advanced Micro Devices,high
AMAT.O,0.4941,1.5729,0.6143,0.6325,0.4793,-0.0443,0.4344,0.031,0.1538,2597,643,1954,Applied Materials,high
LRCX.O,0.8694,0.7741,0.0711,-0.1577,0.3494,0.0192,0.3826,0.1024,0.0735,2597,643,1954,Lam Research,high
INTC.O,1.2855,1.9704,-0.6118,0.2807,-6.4806,0.175,0.1655,0.0667,0.2401,2597,643,1954,Intel,high
KLAC.O,0.6799,3.3942,0.81,-0.6632,-0.3575,-0.0514,0.3617,0.1839,0.11,2597,643,1954,KLA Corporation,high
TXN.O,1.9338,1.3782,-1.7167,-0.2757,-0.5828,-0.0014,0.6141,0.1944,0.341,2597,643,1954,Texas Instruments,high
ADI.O,0.3799,1.9575,0.3684,1.5986,-0.3583,-0.0064,0.6605,0.2866,0.2905,2597,643,1954,Analog Devices,high
QCOM.O,0.8041,2.2147,-0.2143,0.8444,-1.1359,-0.0943,0.1893,0.239,0.0786,2597,643,1954,Qualcomm,high
RTX.N,-3.5042,-1.2162,-1.6846,1.3906,-2.3826,0.2692,0.4822,0.0723,0.2556,2597,643,1954,RTX Corporation,high
BA.N,0.5514,1.1347,-0.509,0.7786,1.3999,0.6822,0.2807,0.3102,0.7066,2597,643,1954,Boeing,high
LMT.N,0.1582,-0.9181,-2.2267,0.2174,1.3213,-0.2777,0.0464,-0.1221,0.3634,2597,643,1954,Lockheed Martin,high
NOC.N,-1.7536,-5.792,-2.9361,0.2085,-0.019,-0.256,0.2041,-0.1148,0.1932,2597,643,1954,Northrop Grumman,high
GD.N,-1.2058,-2.3163,-2.1339,0.5923,-2.1863,-0.5697,-0.132,0.1538,0.0532,2597,643,1954,General Dynamics,high
CAT.N,1.0868,1.2735,0.3215,-0.1645,-1.7145,0.4827,0.6635,0.3596,0.3727,2597,643,1954,Caterpillar Inc.,high
GE.N,0.179,2.3813,2.048,-0.1354,-1.5957,0.2972,0.4608,0.0709,0.2021,2597,643,1954,GE Aerospace,high
ETN.N,-0.3625,0.3607,1.0176,-0.607,-0.5184,0.1716,-0.0734,0.2839,0.4724,2597,643,1954,Eaton Corporation,high
PH.N,-0.4729,0.3823,-0.0245,-2.3379,1.3417,0.1818,0.1699,0.3044,0.5323,2597,643,1954,Parker Hannifin,high
HWM.N,-0.4513,-2.1726,-2.1953,1.9288,-1.7043,0.1215,-0.2443,0.4446,0.3513,2597,643,1954,Howmet Aerospace,high
FCX.N,0.8031,-1.639,0.1581,-0.3334,-1.457,0.4499,0.4527,0.5276,0.5928,2597,643,1954,Freeport-McMoRan,high
WDC.O,-1.2405,-0.72,0.1356,3.1712,-3.1169,-0.0163,-0.079,0.1312,0.2331,2597,643,1954,Western Digital,high
STX.O,-0.9359,-1.1942,-0.5663,1.345,-0.2597,0.2323,0.1313,0.1166,0.2606,2597,643,1954,Seagate Technology,high
HON.O,0.0147,0.8445,-0.2947,0.6319,-1.564,-0.1374,-0.1677,0.2712,0.3905,2597,643,1954,,
