ticker,adf_p,adf_result,kpss_stat,kpss_result
NVDA.O,0.0,STATIONARY,0.0886,STATIONARY
AAPL.O,0.0,STATIONARY,0.0692,STATIONARY
GOOG.O,0.0,STATIONARY,0.0975,STATIONARY
GOOGL.O,0.0,STATIONARY,0.1059,STATIONARY
AVGO.O,0.0,STATIONARY,0.3056,STATIONARY
TSLA.O,0.0,STATIONARY,0.102,STATIONARY
MU.O,0.0,STATIONARY,0.2007,STATIONARY
AMD.O,0.0,STATIONARY,0.1181,STATIONARY
AMAT.O,0.0,STATIONARY,0.1164,STATIONARY
LRCX.O,0.0,STATIONARY,0.1023,STATIONARY
INTC.O,0.0,STATIONARY,0.0806,STATIONARY
KLAC.O,0.0,STATIONARY,0.2003,STATIONARY
TXN.O,0.0,STATIONARY,0.023,STATIONARY
ADI.O,0.0,STATIONARY,0.0578,STATIONARY
QCOM.O,0.0,STATIONARY,0.0606,STATIONARY
RTX.N,0.0,STATIONARY,0.0798,STATIONARY
BA.N,0.0,STATIONARY,0.0969,STATIONARY
LMT.N,0.0,STATIONARY,0.0268,STATIONARY
NOC.N,0.0,STATIONARY,0.033,STATIONARY
GD.N,0.0,STATIONARY,0.0577,STATIONARY
CAT.N,0.0,STATIONARY,0.1373,STATIONARY
GE.N,0.0,STATIONARY,0.8651,NON-STATIONARY
ETN.N,0.0,STATIONARY,0.0642,STATIONARY
PH.N,0.0,STATIONARY,0.07,STATIONARY
HWM.N,0.0,STATIONARY,0.4285,STATIONARY
FCX.N,0.0,STATIONARY,0.0404,STATIONARY
WDC.O,0.0,STATIONARY,0.4271,STATIONARY
STX.O,0.0,STATIONARY,0.3809,STATIONARY
HON.O,0.0,STATIONARY,0.0533,STATIONARY
.MVREMXTR,0.0,STATIONARY,0.1127,STATIONARY
MARKET,0.0,STATIONARY,0.0907,STATIONARY
