Date,DSPLY_NMLL,VALUE
2016-04-30,,87.4
2016-05-31,,91.2
2016-06-30,,93.8
2016-07-31,,95.3
2016-08-31,,98.8
2016-09-30,,100.1
2016-10-31,,98.6
2016-11-30,,102.3
2016-12-31,,103.7
2017-01-31,,104.1
2017-02-28,,104.6
2017-03-31,,105.2
2017-04-30,,105.1
2017-05-31,,103.7
2017-06-30,,105.2
2017-07-31,,109.1
2017-08-31,,116.5
2017-09-30,,123.1
2017-10-31,,121.2
2017-11-30,,120.5
2017-12-31,,116.0
2018-01-31,,116.7
2018-02-28,,118.5
2018-03-31,,119.1
2018-04-30,,118.9
2018-05-31,,117.9
2018-06-30,,116.5
2018-07-31,,113.3
2018-08-31,,105.3
2018-09-30,,99.3
2018-10-31,,100.7
2018-11-30,,100.1
2018-12-31,,103.0
2019-01-31,,101.3
2019-02-28,,98.8
2019-03-31,,95.2
2019-04-30,,92.6
2019-05-31,,92.1
2019-06-30,,94.3
2019-07-31,,93.1
2019-08-31,,92.1
2019-09-30,,92.9
2019-10-31,,95.7
2019-11-30,,95.6
2019-12-31,,92.6
2020-01-31,,93.2
2020-02-29,,93.3
2020-03-31,,95.4
2020-04-30,,94.4
2020-05-31,,91.6
2020-06-30,,89.2
2020-07-31,,91.0
2020-08-31,,92.8
2020-09-30,,95.7
2020-10-31,,95.2
2020-11-30,,95.4
2020-12-31,,100.9
2021-01-31,,109.4
2021-02-28,,115.1
2021-03-31,,126.2
2021-04-30,,136.6
2021-05-31,,134.7
2021-06-30,,134.8
2021-07-31,,138.0
2021-08-31,,143.2
2021-09-30,,144.1
2021-10-31,,146.9
2021-11-30,,155.6
2021-12-31,,156.2
2022-01-31,,157.4
2022-02-28,,157.4
2022-03-31,,150.0
2022-04-30,,138.8
2022-05-31,,142.5
2022-06-30,,142.6
2022-07-31,,134.3
2022-08-31,,120.0
2022-09-30,,109.5
2022-10-31,,109.1
2022-11-30,,101.2
2022-12-31,,98.7
2023-01-31,,97.2
2023-02-28,,99.9
2023-03-31,,92.2
2023-04-30,,83.3
2023-05-31,,81.7
2023-06-30,,84.2
2023-07-31,,85.2
2023-08-31,,90.6
2023-09-30,,98.7
2023-10-31,,94.9
2023-11-30,,94.1
2023-12-31,,90.3
2024-01-31,,85.9
2024-02-29,,78.0
2024-03-31,,78.7
2024-04-30,,91.1
2024-05-31,,97.2
2024-06-30,,94.7
2024-07-31,,97.2
2024-08-31,,95.4
2024-09-30,,94.8
2024-10-31,,98.0
2024-11-30,,100.6
2024-12-31,,102.6
2025-01-31,,105.3
2025-02-28,,108.7
2025-03-31,,112.2
2025-04-30,,111.8
2025-05-31,,107.4
2025-06-30,,109.8
2025-07-31,,112.6
2025-08-31,,123.2
2025-09-30,,135.4
2025-10-31,,138.6
2025-11-30,,140.0
2025-12-31,,147.7
2026-01-31,,141.8
2026-02-28,,156.4
