ticker,delta_PPI,p_value_PPI,significant,r2,n_obs
NVDA.O,-0.947544,0.3318,False,0.1456,99
PH.N,-0.184634,0.1327,False,0.6578,99
HWM.N,-0.173853,0.4361,False,0.4035,99
ETN.N,-0.166829,0.1208,False,0.5691,99
HON.O,-0.09992,0.3876,False,0.5799,99
AMD.O,-0.091455,0.815,False,0.3712,99
RTX.N,-0.071064,0.7177,False,0.2994,99
AAPL.O,-0.066397,0.7545,False,0.0863,99
LMT.N,-0.065856,0.689,False,0.2077,99
CAT.N,-0.059384,0.7796,False,0.4204,99
NOC.N,-0.056046,0.7216,False,0.1766,99
BA.N,-0.044068,0.8366,False,0.3508,99
TXN.O,-0.013837,0.9325,False,0.4263,99
QCOM.O,0.039462,0.843,False,0.4256,99
ADI.O,0.093231,0.5642,False,0.464,99
FCX.N,0.100272,0.6552,False,0.4519,99
GD.N,0.10744,0.3893,False,0.3709,99
GE.N,0.123145,0.7156,False,0.1059,99
LRCX.O,0.133832,0.6351,False,0.1467,99
GOOGL.O,0.14744,0.607,False,0.0749,99
GOOG.O,0.154225,0.5907,False,0.0754,99
KLAC.O,0.169324,0.335,False,0.4938,99
AMAT.O,0.1946,0.3403,False,0.4843,99
TSLA.O,0.27412,0.6202,False,0.1241,99
MU.O,0.278935,0.3154,False,0.3296,99
AVGO.O,0.349662,0.4271,False,0.1204,99
INTC.O,0.418029,0.0867,False,0.2325,99
WDC.O,0.41959,0.1439,False,0.4032,99
STX.O,0.647667,0.0038,True,0.3906,99
